temperature,city,pression,date
292.56,Paris,1017,2025-07-08T10
293.38,London,1018,2025-07-08T10
292.24,Berlin,1008,2025-07-08T10
292.93,Paris,1017,2025-07-08T10
293.62,London,1018,2025-07-08T10
292.29,Berlin,1008,2025-07-08T10
292.56,Paris,1017,2025-07-08T10
293.62,London,1018,2025-07-08T10
292.29,Berlin,1008,2025-07-08T10
292.56,Paris,1017,2025-07-08T10
293.38,London,1018,2025-07-08T10
291.88,Berlin,1008,2025-07-08T10
292.56,Paris,1017,2025-07-08T10
293.38,London,1018,2025-07-08T10
291.88,Berlin,1008,2025-07-08T10
292.56,Paris,1017,2025-07-08T10
293.38,London,1018,2025-07-08T10
291.88,Berlin,1008,2025-07-08T10
292.23,Paris,1017,2025-07-08T10
293.38,London,1018,2025-07-08T10
292.07,Berlin,1008,2025-07-08T10
292.23,Paris,1017,2025-07-08T10
293.74,London,1018,2025-07-08T10
292.07,Berlin,1008,2025-07-08T10
292.23,Paris,1017,2025-07-08T10
293.74,London,1018,2025-07-08T10
292.07,Berlin,1008,2025-07-08T10
292.43,Paris,1017,2025-07-08T10
293.54,London,1018,2025-07-08T10
291.98,Berlin,1008,2025-07-08T10
292.43,Paris,1017,2025-07-08T10
293.54,London,1018,2025-07-08T10
291.98,Berlin,1008,2025-07-08T10
292.43,Paris,1017,2025-07-08T10
293.54,London,1018,2025-07-08T10
291.98,Berlin,1008,2025-07-08T10
292.23,Paris,1017,2025-07-08T10
293.33,London,1017,2025-07-08T10
292.43,Berlin,1008,2025-07-08T10
292.23,Paris,1017,2025-07-08T10
293.33,London,1017,2025-07-08T10
292.43,Berlin,1008,2025-07-08T10
292.23,Paris,1017,2025-07-08T10
293.33,London,1017,2025-07-08T10
292.43,Berlin,1008,2025-07-08T10
292.23,Paris,1017,2025-07-08T10
293.33,London,1017,2025-07-08T10
292.43,Berlin,1008,2025-07-08T10
292.16,Paris,1017,2025-07-08T10
293.27,London,1017,2025-07-08T10
292.18,Berlin,1008,2025-07-08T10
292.27,Paris,1017,2025-07-08T10
293.16,London,1017,2025-07-08T10
292.09,Berlin,1008,2025-07-08T10
292.27,Paris,1017,2025-07-08T10
293.16,London,1017,2025-07-08T10
292.09,Berlin,1008,2025-07-08T10
