type,average_base_total
bug,380.4415584415584416
poison,397.9090909090909091
normal,401.6697247706422018
grass,413.4081632653061224
water,424.0381679389312977
fairy,425.8085106382978723
ground,428.1212121212121212
electric,440.1458333333333333
flying,441.7346938775510204
ghost,444.8048780487804878
rock,446.9830508474576271
ice,447.1315789473684211
dark,447.7400000000000000
fire,453.5846153846153846
fighting,456.5849056603773585
psychic,463.7926829268292683
steel,493.6739130434782609
dragon,513.0000000000000000
